baseline,dimension,n,win,tie,lose,win_pct,tie_pct,lose_pct,gap
AI Scientist-v2,Clarity,90,56,10,24,62.22,11.11,26.67,35.55
AI Scientist-v2,Novelty,90,17,4,69,18.89,4.44,76.67,-57.78
AI Scientist-v2,Feasibility,90,51,3,36,56.67,3.33,40.0,16.67
AI Scientist-v2,Relevance,90,26,48,16,28.89,53.33,17.78,11.11
InternAgent,Clarity,90,86,0,4,95.56,0.0,4.44,91.12
InternAgent,Novelty,90,77,2,11,85.56,2.22,12.22,73.34
InternAgent,Feasibility,90,84,1,5,93.33,1.11,5.56,87.77
InternAgent,Relevance,90,72,14,4,80.0,15.56,4.44,75.56
K-Dense,Clarity,90,39,16,35,43.33,17.78,38.89,4.44
K-Dense,Novelty,90,29,3,58,32.22,3.33,64.44,-32.22
K-Dense,Feasibility,90,46,4,40,51.11,4.44,44.44,6.67
K-Dense,Relevance,90,16,58,16,17.78,64.44,17.78,0.0
Novix,Clarity,90,43,14,33,47.78,15.56,36.67,11.11
Novix,Novelty,90,41,6,43,45.56,6.67,47.78,-2.22
Novix,Feasibility,90,38,10,42,42.22,11.11,46.67,-4.45
Novix,Relevance,90,18,49,23,20.0,54.44,25.56,-5.56
