baseline,variant,reference_system,dimension,n,win,tie,lose,win_pct,tie_pct,lose_pct,gap
-IDE vs EvoScientist,-IDE,EvoScientist,Clarity,3,1,1,1,33.33,33.33,33.33,0.0
-IDE vs EvoScientist,-IDE,EvoScientist,Novelty,3,2,0,1,66.67,0.0,33.33,33.34
-IDE vs EvoScientist,-IDE,EvoScientist,Feasibility,3,1,0,2,33.33,0.0,66.67,-33.34
-IDE vs EvoScientist,-IDE,EvoScientist,Relevance,3,1,2,0,33.33,66.67,0.0,33.33
-IVE vs EvoScientist,-IVE,EvoScientist,Clarity,3,1,0,2,33.33,0.0,66.67,-33.34
-IVE vs EvoScientist,-IVE,EvoScientist,Novelty,3,1,0,2,33.33,0.0,66.67,-33.34
-IVE vs EvoScientist,-IVE,EvoScientist,Feasibility,3,0,0,3,0.0,0.0,100.0,-100.0
-IVE vs EvoScientist,-IVE,EvoScientist,Relevance,3,0,1,2,0.0,33.33,66.67,-66.67
-all vs EvoScientist,-all,EvoScientist,Clarity,3,1,2,0,33.33,66.67,0.0,33.33
-all vs EvoScientist,-all,EvoScientist,Novelty,3,2,0,1,66.67,0.0,33.33,33.34
-all vs EvoScientist,-all,EvoScientist,Feasibility,3,1,0,2,33.33,0.0,66.67,-33.34
-all vs EvoScientist,-all,EvoScientist,Relevance,3,0,3,0,0.0,100.0,0.0,0.0
