comparison_id,query_id,topic,baseline,goal,assistant_1_system,assistant_2_system,answer_a_path,answer_b_path,answer_a_preview,answer_b_preview
human__internagent__q01,1,Machine translation,InternAgent,Generate a research proposal on low-resource machine translation.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_01/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_01/answer.txt,Research Proposal: Cross-Lingual Contrastive Retrieval for Low-Resource Neural Machine Translation## Title CREST-MT: Cross-Lingual Contrastive Retrieval-Augmented Fine-Tuning for Low-Resource Machine Translation ---------------------------------------------...,# InternAgent QA Replacement Output: Query 01 Topic: Machine translation Prompt: Generate a research proposal on low-resource machine translation. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement...
human__internagent__q02,2,Software engineering,InternAgent,Help me generate a research proposal on AI for software engineering.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_02/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_02/answer.txt,Research Proposal: Self-Specification Alignment for LLM-Generated Code## Title Self-Specification Alignment: Closing the Validation Loop for LLM Code Generation Using Automatically Generated Behavioral Oracles -----------------------------------------------...,# InternAgent QA Replacement Output: Query 02 Topic: Software engineering Prompt: Help me generate a research proposal on AI for software engineering. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replace...
human__internagent__q03,3,LLM evaluation,InternAgent,Generate a research proposal on how to address the accuracy issues of automated evaluation for Large Language Models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_03/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_03/answer.txt,Research Proposal: Addressing Accuracy Issues in Automated LLM Evaluation--- Title Calibrated Ensemble Evaluation (CEE): Improving LLM-as-a-Judge Accuracy through Uncertainty-Aware Multi-Model Deliberation ---------------------------------------------------...,# InternAgent QA Replacement Output: Query 03 Topic: LLM evaluation Prompt: Generate a research proposal on how to address the accuracy issues of automated evaluation for Large Language Models. Model: deepseek-chat Paper-exact: false This answer was generat...
human__internagent__q04,4,Healthcare agents,InternAgent,Help me generate a research proposal on AI agents in healthcare.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_04/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_04/answer.txt,Research Proposal: Multi-Agent LLM Systems for Clinical Trial Eligibility Screening## Title TrialMatch: A Structured Multi-Agent Debate Framework for Zero-Shot Clinical Trial Eligibility Screening ------------------------------------------------------------...,# InternAgent QA Replacement Output: Query 04 Topic: Healthcare agents Prompt: Help me generate a research proposal on AI agents in healthcare. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement ba...
human__internagent__q05,5,Literature review automation,InternAgent,Generate a research proposal on automated literature review generation.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_05/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_05/answer.txt,Title: Structured Critical Literature Review Generation via Hierarchical Contradiction-Aware Synthesis--- Problem Current automated literature review systems (LLM-based or retrieval-augmented) produce fluent but shallow summaries — they list findings paper-...,# InternAgent QA Replacement Output: Query 05 Topic: Literature review automation Prompt: Generate a research proposal on automated literature review generation. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode a...
human__internagent__q06,6,Speech recognition,InternAgent,Generate a research proposal on low-resource speech recognition.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_06/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_06/answer.txt,Research Proposal: Confidence-Gated Iterative Pseudo-Labeling with Phoneme-Constrained Augmentation for Low-Resource ASRTitle: Semi-Supervised Self-Training with Audited Pseudo-Labels and Phoneme-Preserving Augmentation for Under-10-Hour Speech Recognition-...,# InternAgent QA Replacement Output: Query 06 Topic: Speech recognition Prompt: Generate a research proposal on low-resource speech recognition. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement b...
human__internagent__q07,7,Model efficiency,InternAgent,Generate a research proposal on how to break the performance ceiling of small models.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_07/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_07/answer.txt,-------------------------------------------------------------------------------- Research Proposal: Breaking the Performance Ceiling of Small Language Models via Targeted Capacity Allocation## Title Beyond Scaling Alone: Targeted Capacity Allocation for Bre...,# InternAgent QA Replacement Output: Query 07 Topic: Model efficiency Prompt: Generate a research proposal on how to break the performance ceiling of small models. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode...
human__internagent__q08,8,AI agents,InternAgent,Generate a research proposal on complex reasoning for AI agents.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_08/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_08/answer.txt,"Research Proposal: Compositional Reasoning Under Distraction — When Do Agentic Workflows Break Down? Title**""Plan-Trace-Verify: A Controlled Study of Multi-Step Compositional Reasoning in LLM Agents Under Distractor Conditions""** ---------------------------...","# InternAgent QA Replacement Output: Query 08 Topic: AI agents Prompt: Generate a research proposal on complex reasoning for AI agents. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement baseline, ..."
human__internagent__q09,9,Model deployment,InternAgent,Generate a research proposal on solving quantization challenges for LLM deployment on edge devices.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_09/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_09/answer.txt,"Title: Mixed-Precision Differentiable Quantization via Adaptive Bit Allocation for LLM Deployment on Edge DevicesProblem Deploying large language models (LLMs) on edge devices (phones, IoT, embedded systems) is bottlenecked by memory bandwidth and power. Cu...",# InternAgent QA Replacement Output: Query 09 Topic: Model deployment Prompt: Generate a research proposal on solving quantization challenges for LLM deployment on edge devices. Model: deepseek-chat Paper-exact: false This answer was generated through Inter...
human__internagent__q10,10,Text-to-SQL,InternAgent,Help me generate a research proposal on Text-to-SQL.,EvoScientist,InternAgent,reproduction/artifacts/idea_outputs/EvoScientist/query_10/answer.txt,reproduction/artifacts/idea_outputs/InternAgent/query_10/answer.txt,Research Proposal: Schema-Aware Decomposition for Complex Text-to-SQL on Large-Scale Databases## Title Schema-Aware Decomposition: Robust Text-to-SQL on Large-Scale Databases via Progressive Pruning and Incremental Construction -----------------------------...,"# InternAgent QA Replacement Output: Query 10 Topic: Text-to-SQL Prompt: Help me generate a research proposal on Text-to-SQL. Model: deepseek-chat Paper-exact: false This answer was generated through InternAgent QA mode as a replacement baseline, not from t..."
