baseline,variant,reference_system,dimension,n,win,tie,lose,win_pct,tie_pct,lose_pct,gap
-IDE vs EvoScientist,-IDE,EvoScientist,Clarity,20,11,5,4,55.0,25.0,20.0,35.0
-IDE vs EvoScientist,-IDE,EvoScientist,Novelty,20,15,0,5,75.0,0.0,25.0,50.0
-IDE vs EvoScientist,-IDE,EvoScientist,Feasibility,20,11,0,9,55.0,0.0,45.0,10.0
-IDE vs EvoScientist,-IDE,EvoScientist,Relevance,20,9,8,3,45.0,40.0,15.0,30.0
-IVE vs EvoScientist,-IVE,EvoScientist,Clarity,20,12,2,6,60.0,10.0,30.0,30.0
-IVE vs EvoScientist,-IVE,EvoScientist,Novelty,20,14,0,6,70.0,0.0,30.0,40.0
-IVE vs EvoScientist,-IVE,EvoScientist,Feasibility,20,8,0,12,40.0,0.0,60.0,-20.0
-IVE vs EvoScientist,-IVE,EvoScientist,Relevance,20,7,9,4,35.0,45.0,20.0,15.0
-all vs EvoScientist,-all,EvoScientist,Clarity,20,10,6,4,50.0,30.0,20.0,30.0
-all vs EvoScientist,-all,EvoScientist,Novelty,20,12,2,6,60.0,10.0,30.0,30.0
-all vs EvoScientist,-all,EvoScientist,Feasibility,20,12,0,8,60.0,0.0,40.0,20.0
-all vs EvoScientist,-all,EvoScientist,Relevance,20,3,13,4,15.0,65.0,20.0,-5.0
