comparison_id,annotator_id,dimension,winner,confidence,rationale
human__internagent__q01,phd_annotator_1,Novelty,,,
human__internagent__q01,phd_annotator_1,Feasibility,,,
human__internagent__q01,phd_annotator_1,Relevance,,,
human__internagent__q01,phd_annotator_1,Clarity,,,
human__internagent__q01,phd_annotator_2,Novelty,,,
human__internagent__q01,phd_annotator_2,Feasibility,,,
human__internagent__q01,phd_annotator_2,Relevance,,,
human__internagent__q01,phd_annotator_2,Clarity,,,
human__internagent__q01,phd_annotator_3,Novelty,,,
human__internagent__q01,phd_annotator_3,Feasibility,,,
human__internagent__q01,phd_annotator_3,Relevance,,,
human__internagent__q01,phd_annotator_3,Clarity,,,
human__internagent__q02,phd_annotator_1,Novelty,,,
human__internagent__q02,phd_annotator_1,Feasibility,,,
human__internagent__q02,phd_annotator_1,Relevance,,,
human__internagent__q02,phd_annotator_1,Clarity,,,
human__internagent__q02,phd_annotator_2,Novelty,,,
human__internagent__q02,phd_annotator_2,Feasibility,,,
human__internagent__q02,phd_annotator_2,Relevance,,,
human__internagent__q02,phd_annotator_2,Clarity,,,
human__internagent__q02,phd_annotator_3,Novelty,,,
human__internagent__q02,phd_annotator_3,Feasibility,,,
human__internagent__q02,phd_annotator_3,Relevance,,,
human__internagent__q02,phd_annotator_3,Clarity,,,
human__internagent__q03,phd_annotator_1,Novelty,,,
human__internagent__q03,phd_annotator_1,Feasibility,,,
human__internagent__q03,phd_annotator_1,Relevance,,,
human__internagent__q03,phd_annotator_1,Clarity,,,
human__internagent__q03,phd_annotator_2,Novelty,,,
human__internagent__q03,phd_annotator_2,Feasibility,,,
human__internagent__q03,phd_annotator_2,Relevance,,,
human__internagent__q03,phd_annotator_2,Clarity,,,
human__internagent__q03,phd_annotator_3,Novelty,,,
human__internagent__q03,phd_annotator_3,Feasibility,,,
human__internagent__q03,phd_annotator_3,Relevance,,,
human__internagent__q03,phd_annotator_3,Clarity,,,
human__internagent__q04,phd_annotator_1,Novelty,,,
human__internagent__q04,phd_annotator_1,Feasibility,,,
human__internagent__q04,phd_annotator_1,Relevance,,,
human__internagent__q04,phd_annotator_1,Clarity,,,
human__internagent__q04,phd_annotator_2,Novelty,,,
human__internagent__q04,phd_annotator_2,Feasibility,,,
human__internagent__q04,phd_annotator_2,Relevance,,,
human__internagent__q04,phd_annotator_2,Clarity,,,
human__internagent__q04,phd_annotator_3,Novelty,,,
human__internagent__q04,phd_annotator_3,Feasibility,,,
human__internagent__q04,phd_annotator_3,Relevance,,,
human__internagent__q04,phd_annotator_3,Clarity,,,
human__internagent__q05,phd_annotator_1,Novelty,,,
human__internagent__q05,phd_annotator_1,Feasibility,,,
human__internagent__q05,phd_annotator_1,Relevance,,,
human__internagent__q05,phd_annotator_1,Clarity,,,
human__internagent__q05,phd_annotator_2,Novelty,,,
human__internagent__q05,phd_annotator_2,Feasibility,,,
human__internagent__q05,phd_annotator_2,Relevance,,,
human__internagent__q05,phd_annotator_2,Clarity,,,
human__internagent__q05,phd_annotator_3,Novelty,,,
human__internagent__q05,phd_annotator_3,Feasibility,,,
human__internagent__q05,phd_annotator_3,Relevance,,,
human__internagent__q05,phd_annotator_3,Clarity,,,
human__internagent__q06,phd_annotator_1,Novelty,,,
human__internagent__q06,phd_annotator_1,Feasibility,,,
human__internagent__q06,phd_annotator_1,Relevance,,,
human__internagent__q06,phd_annotator_1,Clarity,,,
human__internagent__q06,phd_annotator_2,Novelty,,,
human__internagent__q06,phd_annotator_2,Feasibility,,,
human__internagent__q06,phd_annotator_2,Relevance,,,
human__internagent__q06,phd_annotator_2,Clarity,,,
human__internagent__q06,phd_annotator_3,Novelty,,,
human__internagent__q06,phd_annotator_3,Feasibility,,,
human__internagent__q06,phd_annotator_3,Relevance,,,
human__internagent__q06,phd_annotator_3,Clarity,,,
human__internagent__q07,phd_annotator_1,Novelty,,,
human__internagent__q07,phd_annotator_1,Feasibility,,,
human__internagent__q07,phd_annotator_1,Relevance,,,
human__internagent__q07,phd_annotator_1,Clarity,,,
human__internagent__q07,phd_annotator_2,Novelty,,,
human__internagent__q07,phd_annotator_2,Feasibility,,,
human__internagent__q07,phd_annotator_2,Relevance,,,
human__internagent__q07,phd_annotator_2,Clarity,,,
human__internagent__q07,phd_annotator_3,Novelty,,,
human__internagent__q07,phd_annotator_3,Feasibility,,,
human__internagent__q07,phd_annotator_3,Relevance,,,
human__internagent__q07,phd_annotator_3,Clarity,,,
human__internagent__q08,phd_annotator_1,Novelty,,,
human__internagent__q08,phd_annotator_1,Feasibility,,,
human__internagent__q08,phd_annotator_1,Relevance,,,
human__internagent__q08,phd_annotator_1,Clarity,,,
human__internagent__q08,phd_annotator_2,Novelty,,,
human__internagent__q08,phd_annotator_2,Feasibility,,,
human__internagent__q08,phd_annotator_2,Relevance,,,
human__internagent__q08,phd_annotator_2,Clarity,,,
human__internagent__q08,phd_annotator_3,Novelty,,,
human__internagent__q08,phd_annotator_3,Feasibility,,,
human__internagent__q08,phd_annotator_3,Relevance,,,
human__internagent__q08,phd_annotator_3,Clarity,,,
human__internagent__q09,phd_annotator_1,Novelty,,,
human__internagent__q09,phd_annotator_1,Feasibility,,,
human__internagent__q09,phd_annotator_1,Relevance,,,
human__internagent__q09,phd_annotator_1,Clarity,,,
human__internagent__q09,phd_annotator_2,Novelty,,,
human__internagent__q09,phd_annotator_2,Feasibility,,,
human__internagent__q09,phd_annotator_2,Relevance,,,
human__internagent__q09,phd_annotator_2,Clarity,,,
human__internagent__q09,phd_annotator_3,Novelty,,,
human__internagent__q09,phd_annotator_3,Feasibility,,,
human__internagent__q09,phd_annotator_3,Relevance,,,
human__internagent__q09,phd_annotator_3,Clarity,,,
human__internagent__q10,phd_annotator_1,Novelty,,,
human__internagent__q10,phd_annotator_1,Feasibility,,,
human__internagent__q10,phd_annotator_1,Relevance,,,
human__internagent__q10,phd_annotator_1,Clarity,,,
human__internagent__q10,phd_annotator_2,Novelty,,,
human__internagent__q10,phd_annotator_2,Feasibility,,,
human__internagent__q10,phd_annotator_2,Relevance,,,
human__internagent__q10,phd_annotator_2,Clarity,,,
human__internagent__q10,phd_annotator_3,Novelty,,,
human__internagent__q10,phd_annotator_3,Feasibility,,,
human__internagent__q10,phd_annotator_3,Relevance,,,
human__internagent__q10,phd_annotator_3,Clarity,,,
human__internagent__q11,phd_annotator_1,Novelty,,,
human__internagent__q11,phd_annotator_1,Feasibility,,,
human__internagent__q11,phd_annotator_1,Relevance,,,
human__internagent__q11,phd_annotator_1,Clarity,,,
human__internagent__q11,phd_annotator_2,Novelty,,,
human__internagent__q11,phd_annotator_2,Feasibility,,,
human__internagent__q11,phd_annotator_2,Relevance,,,
