baseline,dimension,n,win,tie,lose,win_pct,tie_pct,lose_pct,gap
Virtual Scientist,Clarity,60,26,12,22,43.33,20.0,36.67,6.66
Virtual Scientist,Novelty,60,23,5,32,38.33,8.33,53.33,-15.0
Virtual Scientist,Feasibility,60,28,2,30,46.67,3.33,50.0,-3.33
Virtual Scientist,Relevance,60,8,39,13,13.33,65.0,21.67,-8.34
AI-Researcher,Clarity,60,29,7,24,48.33,11.67,40.0,8.33
AI-Researcher,Novelty,60,37,4,19,61.67,6.67,31.67,30.0
AI-Researcher,Feasibility,60,23,1,36,38.33,1.67,60.0,-21.67
AI-Researcher,Relevance,60,7,42,11,11.67,70.0,18.33,-6.66
InternAgent,Clarity,60,57,0,3,95.0,0.0,5.0,90.0
InternAgent,Novelty,60,52,0,8,86.67,0.0,13.33,73.34
InternAgent,Feasibility,60,56,0,4,93.33,0.0,6.67,86.66
InternAgent,Relevance,60,46,12,2,76.67,20.0,3.33,73.34
AI Scientist-v2,Clarity,60,37,6,17,61.67,10.0,28.33,33.34
AI Scientist-v2,Novelty,60,11,3,46,18.33,5.0,76.67,-58.34
AI Scientist-v2,Feasibility,60,34,1,25,56.67,1.67,41.67,15.0
AI Scientist-v2,Relevance,60,15,35,10,25.0,58.33,16.67,8.33
Hypogenic,Clarity,60,29,9,22,48.33,15.0,36.67,11.66
Hypogenic,Novelty,60,9,1,50,15.0,1.67,83.33,-68.33
Hypogenic,Feasibility,60,33,1,26,55.0,1.67,43.33,11.67
Hypogenic,Relevance,60,9,41,10,15.0,68.33,16.67,-1.67
Novix,Clarity,60,29,7,24,48.33,11.67,40.0,8.33
Novix,Novelty,60,27,4,29,45.0,6.67,48.33,-3.33
Novix,Feasibility,60,27,4,29,45.0,6.67,48.33,-3.33
Novix,Relevance,60,11,35,14,18.33,58.33,23.33,-5.0
K-Dense,Clarity,60,27,9,24,45.0,15.0,40.0,5.0
K-Dense,Novelty,60,19,3,38,31.67,5.0,63.33,-31.66
K-Dense,Feasibility,60,31,2,27,51.67,3.33,45.0,6.67
K-Dense,Relevance,60,9,42,9,15.0,70.0,15.0,0.0
